date,tobs,tmax,tmin,tavg,precip_accum,swe,solar_ins,solar_short,flow,albedo,snowcover,cloudcover,snowdepth
1/1/2000,-1.9,4.4,-4.3,-0.7,6.2,4.9,NA,NA,1.34,NA,NA,NA,NA
1/2/2000,-6.4,-1.7,-7.7,-5.1,6.2,4.9,NA,NA,1.34,NA,NA,NA,NA
1/3/2000,-12,-7.4,-13.4,-10.6,6.8,5.6,NA,NA,1.34,NA,NA,NA,NA
1/4/2000,-10.4,-9,-14.8,-12.2,7.4,6,NA,NA,1.34,NA,NA,NA,NA
1/5/2000,-7.4,-1.3,-10.4,-5.9,8.2,6.8,NA,NA,1.34,NA,NA,NA,NA
1/6/2000,-14.3,-7.5,-14.3,-9.9,8.6,7.2,NA,NA,1.34,NA,NA,NA,NA
1/7/2000,-5.2,-3.5,-16.3,-9.5,8.7,7.2,NA,NA,1.56,NA,NA,NA,NA
1/8/2000,-9,-3.3,-9.4,-6,8.7,7.2,NA,NA,1.56,NA,NA,NA,NA
1/9/2000,-8.6,-4.6,-10.4,-8,9.4,7.9,NA,NA,1.34,NA,NA,NA,NA
1/10/2000,-4.3,-4.2,-9.7,-7.2,9.7,8.2,NA,NA,1.34,NA,NA,NA,NA
1/11/2000,-0.7,-0.6,-6,-4,11.4,9.8,NA,NA,1.34,NA,NA,NA,NA
1/12/2000,-4,2.5,-4,-0.5,11.8,10.3,NA,NA,1.56,NA,NA,NA,NA
1/13/2000,-4.6,-1.3,-6.9,-4,11.8,10.2,NA,NA,1.56,NA,NA,NA,NA
1/14/2000,4.4,4.6,-4.3,1,11.9,10.2,NA,NA,1.81,NA,NA,NA,NA
1/15/2000,2.7,5.6,2.2,3.9,11.9,10.1,NA,NA,1.81,NA,NA,NA,NA
1/16/2000,2.8,6,-0.3,2.4,12,10.1,NA,NA,1.81,NA,NA,NA,NA
1/17/2000,2,4.7,1.8,3.3,12,10.1,NA,NA,1.81,NA,NA,NA,NA
1/18/2000,1.3,3,1.3,1.8,12,10,NA,NA,2.06,NA,NA,NA,NA
1/19/2000,0.6,3.3,-0.3,1.5,13.2,10.6,NA,NA,2.32,NA,NA,NA,NA
1/20/2000,1.5,3.3,-2,0,13.2,10.6,NA,NA,2.06,NA,NA,NA,NA
1/21/2000,2.4,5.7,0.8,2.5,13.2,10.6,NA,NA,2.06,NA,NA,NA,NA
1/22/2000,-5.1,2,-8.3,-2.8,13.6,11.1,NA,NA,2.06,NA,NA,NA,NA
1/23/2000,-7.8,-2.4,-9.3,-6.1,13.8,11.2,NA,NA,1.81,NA,NA,NA,NA
1/24/2000,-1.8,-1.3,-12.5,-5.2,13.9,11.3,NA,NA,1.81,NA,NA,NA,NA
1/25/2000,-0.6,1.3,-2.2,-0.6,14.1,11.4,NA,NA,2.06,NA,NA,NA,NA
1/26/2000,-4,-0.2,-4.1,-1.5,15.1,12.4,NA,NA,2.06,NA,NA,NA,NA
1/27/2000,-7.9,0.2,-7.9,-4.3,15.1,12.4,NA,NA,1.81,NA,NA,NA,NA
1/28/2000,-15.5,-5.1,-15.9,-10.6,15.1,12.4,NA,NA,1.81,NA,NA,NA,NA
1/29/2000,-13.4,-5,-16.5,-11.8,15.1,12.4,NA,NA,1.81,NA,NA,NA,NA
1/30/2000,-11.5,-1.9,-15.6,-10,15.1,12.4,NA,NA,1.81,NA,NA,NA,NA
1/31/2000,-4.2,-2.7,-11.7,-6.8,15.2,12.5,NA,NA,1.81,NA,NA,NA,NA
2/1/2000,-10.4,-3.5,-11,-6.7,15.6,12.7,NA,NA,1.56,NA,NA,NA,NA
2/2/2000,-3.4,0.3,-13.1,-5.4,15.6,12.7,NA,NA,1.81,NA,NA,NA,NA
2/3/2000,4.3,10.4,-4.5,4.1,15.6,12.7,NA,NA,1.81,NA,NA,NA,NA
2/4/2000,-5.1,12.5,-5.1,4.4,15.6,12.7,NA,NA,1.81,NA,NA,NA,NA
2/5/2000,0.4,5,-7.7,-1.8,15.6,12.7,NA,NA,1.81,NA,NA,NA,NA
2/6/2000,-0.3,3.6,-4.4,-0.1,15.6,12.7,NA,NA,1.81,NA,NA,NA,NA
2/7/2000,-3.6,6.8,-3.6,0.8,15.6,12.7,NA,NA,2.06,NA,NA,NA,NA
2/8/2000,2.2,7.1,-4.1,1.3,15.6,12.7,NA,NA,2.06,NA,NA,NA,NA
2/9/2000,2.4,7.9,1.3,3.4,15.6,12.7,NA,NA,2.06,NA,NA,NA,NA
2/10/2000,-2,4.7,-2,0.9,15.6,12.7,NA,NA,2.06,NA,NA,NA,NA
2/11/2000,-2.2,2.4,-3.2,-0.9,15.6,12.9,NA,NA,2.32,NA,NA,NA,NA
2/12/2000,-2.5,0.3,-3.6,-1.8,15.9,13.4,NA,NA,2.32,NA,NA,NA,NA
2/13/2000,-5.8,-2.2,-5.9,-3.9,17.9,16,NA,NA,2.32,NA,NA,NA,NA
2/14/2000,-2.6,-2.6,-6.4,-4.6,18.4,16.8,NA,NA,2.59,NA,NA,NA,NA
2/15/2000,-3,4.4,-3,-0.4,19.9,18.3,NA,NA,2.87,NA,NA,NA,NA
2/16/2000,-3.5,1.1,-6.7,-3.9,20.1,18.4,NA,NA,2.59,NA,NA,NA,NA
2/17/2000,-2.8,4.2,-3.4,-1.5,20.2,18.7,NA,NA,2.32,NA,NA,NA,NA
2/18/2000,-7.1,0.1,-7.9,-4.2,20.5,18.9,NA,NA,2.32,NA,NA,NA,NA
2/19/2000,-9.4,-3.7,-9.4,-6.9,20.5,18.9,NA,NA,2.32,NA,NA,NA,NA
2/20/2000,0.9,3.5,-13.4,-4.4,20.7,19,NA,NA,2.32,NA,NA,NA,NA
2/21/2000,-3,7.7,-5.6,0.3,20.8,19,NA,NA,2.32,NA,NA,NA,NA
2/22/2000,-4.7,8.8,-4.7,0.9,21.5,19.8,NA,NA,2.59,NA,NA,NA,NA
2/23/2000,-4,2,-6.5,-3,21.5,19.8,NA,NA,2.32,NA,NA,NA,NA
2/24/2000,-3.5,-0.4,-7.6,-3.5,21.6,20,NA,NA,2.32,0.52255,90.146,100,NA
2/25/2000,-10.5,-3.4,-10.8,-6.5,22.9,21.5,NA,NA,2.06,0.52255,90.146,100,NA
2/26/2000,-12.5,-8.1,-12.5,-10.6,23,21.5,NA,NA,2.06,0.52255,90.146,100,NA
2/27/2000,-1.8,-1,-11.9,-5.2,23.1,21.6,NA,NA,2.32,0.52255,90.146,100,NA
2/28/2000,-2.6,4.7,-4.6,0.4,23.1,21.6,NA,NA,2.32,0.52255,90.146,0,NA
2/29/2000,-4.6,2,-5.9,-3,23.3,21.9,NA,NA,2.32,0.52255,90.146,3.658536585,NA
3/1/2000,-3,4.9,-8.3,-2.3,23.3,22,275.7026062,133.1321259,2.32,0.45488,84.4225,100,NA
3/2/2000,-3.3,3.9,-5.4,-1.8,23.3,22,278.9016113,151.7141266,2.32,0.38721,78.699,6.707317073,NA
3/3/2000,-5.9,4.8,-7.8,-3.3,23.3,22,282.1159058,165.4234619,2.32,0.5204,63.536,6.707317073,NA
3/4/2000,-1.6,9.5,-8.1,-0.9,23.3,22,285.3095093,197.5545197,2.32,0.51103625,43.236,100,NA
