date,tobs,tmax,tmin,tavg,precip_accum,swe,solar_ins,solar_short,flow,albedo,snowcover,cloudcover
1/1/2000,-2.9,4.5,-4.6,-1.6,10.5,7.8,NA,NA,14.17,NA,NA,NA
1/2/2000,-8.3,-1.7,-10.3,-6.8,10.5,7.8,NA,NA,14.27,NA,NA,NA
1/3/2000,-13.7,-8.3,-14.6,-12.4,11.2,8.7,NA,NA,13.73,NA,NA,NA
1/4/2000,-12.2,-8.8,-16.1,-13.7,11.8,9.3,NA,NA,14.51,NA,NA,NA
1/5/2000,-9.1,0,-12.9,-6.2,12.5,9.9,NA,NA,14.33,NA,NA,NA
1/6/2000,-15.5,-8.7,-15.5,-12.2,13,10.5,NA,NA,13.51,NA,NA,NA
1/7/2000,-6.5,-0.5,-15.9,-9.2,13,10.5,NA,NA,13.77,NA,NA,NA
1/8/2000,-11.8,-3.3,-12,-7.5,13.1,10.5,NA,NA,13.73,NA,NA,NA
1/9/2000,-10.5,0,-13.7,-8.9,13.6,11.2,NA,NA,13.75,NA,NA,NA
1/10/2000,-6.3,-5.8,-11.4,-8.6,13.8,11.3,NA,NA,14.15,NA,NA,NA
1/11/2000,-2.1,-1.8,-7.5,-5.2,14.6,12.3,NA,NA,14.13,NA,NA,NA
1/12/2000,-4.6,0.8,-5.3,-2.6,15.3,13.1,NA,NA,13.86,NA,NA,NA
1/13/2000,-4.1,-1.6,-8.6,-5,15.3,13.1,NA,NA,13.75,NA,NA,NA
1/14/2000,3.4,3.4,-4.2,0.2,15.3,13.1,NA,NA,13.98,NA,NA,NA
1/15/2000,1.3,4,1.3,2.6,15.3,13.1,NA,NA,13.94,NA,NA,NA
1/16/2000,2.4,5.5,-1.4,1.4,15.4,13.1,NA,NA,14.45,NA,NA,NA
1/17/2000,0.8,2.4,-0.9,1.2,15.5,13,NA,NA,14.73,NA,NA,NA
1/18/2000,0,1.9,-0.8,0.3,15.5,13,NA,NA,15.5,NA,NA,NA
1/19/2000,-0.3,2.4,-0.8,0.5,16.5,14,NA,NA,15.74,NA,NA,NA
1/20/2000,-1,2.8,-3.9,-1.4,16.6,14.1,NA,NA,14.62,NA,NA,NA
